state,Matlab,Python,error
S_su,0.012644598254072933,0.012423887145855166,0.00022071110821776692
S_aa,0.0056384398805175194,0.00553317674306596,0.00010526313745155875
S_fa,0.11197417562395554,0.10935538960316608,0.0026187860207894558
S_va,0.01260995963728815,0.012325923825364593,0.0002840358119235569
S_bu,0.0143086071037721,0.014015984128340837,0.00029262297543126227
S_pro,0.018152390575256323,0.017698114072435392,0.0004542765028209336
S_ac,0.09296660756330793,0.09103199468235969,0.0019346128809482467
S_h2,2.5517425595238093e-07,2.5049205025075255e-07,4.682205701628347e-09
S_ch4,0.05559646874476147,0.055417191486049205,0.0001792772587122674
S_IC,0.09486565803909837,0.09535298763589038,0.00048732959679200454
S_IN,0.09428208478542356,0.09473237418664689,0.0004502894012233202
S_I,0.12715157027971033,0.13145846765804023,0.004306897378329896
X_xc,0.10735129542553963,0.10821745341180834,0.0008661579862687166
X_ch,0.02054442235617738,0.021019803544710614,0.0004753811885332336
X_pr,0.08571824063976843,0.08422608386314849,0.001492156776619932
X_li,0.04356977459814423,0.04312345333223114,0.0004463212659130887
X_su,0.308686347253763,0.31896276037416077,0.010276413120397824
X_aa,0.93466611401797,0.9335087113747988,0.0011574026431710699
X_fa,0.3331566753530551,0.3345677850121938,0.0014111096591386842
X_c4,0.3365039953053872,0.33686644323699405,0.0003624479316068273
X_pro,0.10098187163596639,0.1019136725551738,0.000931800919207415
X_ac,0.6744499132540595,0.6778723843739465,0.0034224711198869986
X_h2,0.2831558486270022,0.28521622863815344,0.002060380011151202
X_I,16.733926458508513,17.598821066098825,0.8648946075903106
S_cation,1.2869412251436012e-29,7.348277955097665e-49,1.2869412251436012e-29
S_anion,0.005238900010074362,0.005261278030905615,2.2378020831253272e-05
pH,7.261406518994832,7.262572677912232,0.0011661589173992785
S_va_ion,0.012559844814910794,0.012277177430115022,0.0002826673847957714
S_bu_ion,0.014256730232831739,0.013965406994859195,0.00029132323797254376
S_pro_ion,0.018076640173438022,0.017624777685556377,0.00045186248788164587
S_ac_ion,0.09267340042276774,0.09074613109624835,0.0019272693265193906
S_hco3_ion,0.08540294541073096,0.08585830023638619,0.000455354825655225
S_co2,0.009462712628367417,0.009497115431498204,3.440280313078732e-05
S_nh3,0.0018810057666948851,0.001890888685890292,9.882919195406642e-06
S_nh4_ion,0.09240107901872871,0.09283983959301845,0.00043876057428973475
S_gas_h2,1.1176154947916664e-05,1.0985624607367807e-05,1.9053034054885675e-07
S_gas_ch4,1.6551068908931927,1.6511473823261427,0.003959508567050055
S_gas_co2,0.013530575890469118,0.013576824685926869,4.6248795457751577e-05
